rok,prezident,jmeno,posmrti
1998.0,Havel,George S. Patton,53.0
2005.0,Klaus,Rudolf Pernický,0.0
1997.0,Havel,František Peřina,-9.0
1995.0,Havel,Felix Peřka,-10.0
2003.0,Klaus,Anton Petrák,-6.0
2017.0,Zeman,Karel Pezl,
2010.0,Klaus,Jan Plovajko,-10.0
1997.0,Havel,Karel J. Procházka,-2.0
1997.0,Havel,Radovan Procházka,-23.0
2000.0,Havel,Pravomil L. Raichl,-2.0
1999.0,Havel,Ronald Reagan,-5.0
1997.0,Havel,Josef Robotka,45.0
1998.0,Havel,Chanan Rozen,-15.0
1998.0,Havel,John M. D. Shalikashvili,-13.0
2019.0,Zeman,Jaroslav Selner,46.0
2017.0,Zeman,Gerhard Fritz Kurt Schröder,
2019.0,Zeman,Rudolf Schuster,
1995.0,Havel,Oldřich Skácel,-7.0
1998.0,Havel,František Slunečko,35.0
1998.0,Havel,Javier Solana,
2000.0,Havel,Vilém Stanovský,28.0
2002.0,Havel,Oto Stehlík,
2003.0,Klaus,Alois Šiška,0.0
2006.0,Klaus,Antonín Špaček,-1.0
1999.0,Havel,Margaret Thatcherová,-14.0
2016.0,Zeman,Ferdinand Trauttmansdorff,
2011.0,Klaus,Jan Velík,-5.0
2002.0,Havel,Guido Venturoni,
1997.0,Havel,Sergej Vojcechovský,46.0
2014.0,Zeman,Franz Vranitzký,
1995.0,Havel,Veleslav Wahl,45.0
1999.0,Havel,Lech Walesa,
2003.0,Klaus,Richard von Weizsäcker,-12.0
1999.0,Havel,Simon Wiesenthal,-6.0
2002.0,Havel,Thomas Ray Wilson,
2008.0,Klaus,Jiří Zenáhlík,
2019.0,Zeman,Helmut Zilk,11.0
1990.0,Havel,François Mitterrand,-6.0
1990.0,Havel,Vladimír Krajina,-3.0
1990.0,Havel,Zdena Salivarová - Škvorecká,
1992.0,Stráský,H. G. Skilling,-9.0
1990.0,Havel,Josef Škvorecký,-22.0
