index,stat,vyznamenani,jmeno,rok,rank,retez,skupina,inmemoriam,pohlavi,prezident,id
2,csfr,rad-bileho-lva,Francois Mitterrand,1990.0,1.0,False,,False,muz,Havel,0
6,csfr,rad-bileho-lva,Josef Škvorecký,1990.0,3.0,False,,False,muz,Havel,1
3,csfr,rad-bileho-lva,Vladimír Krajina,1990.0,1.0,False,,False,muz,Havel,2
4,csfr,rad-bileho-lva,Zdena Salivarová - Škvorecká,1990.0,3.0,False,,False,zena,Havel,3
52,csfr,rad-m.-r.-stefanika,Adolf Opálka,1991.0,3.0,False,,True,muz,Havel,4
39,csfr,rad-m.-r.-stefanika,Alois Liška,1991.0,3.0,False,,True,muz,Havel,5
71,csfr,rad-m.-r.-stefanika,Alois Šiška,1991.0,3.0,False,,False,muz,Havel,6
44,csfr,rad-m.-r.-stefanika,Anton Martiš,1991.0,3.0,False,,False,muz,Havel,7
40,csfr,rad-m.-r.-stefanika,Antonín Liška,1991.0,3.0,False,,False,muz,Havel,8
72,csfr,rad-m.-r.-stefanika,Antonín Šída,1991.0,3.0,False,,False,muz,Havel,9
54,csfr,rad-m.-r.-stefanika,Bohumil Pelikán,1991.0,3.0,False,,False,muz,Havel,10
49,csfr,rad-m.-r.-stefanika,Egon Nezbeda,1991.0,3.0,False,,False,muz,Havel,11
27,csfr,rad-m.-r.-stefanika,František Chábera,1991.0,3.0,False,,False,muz,Havel,12
16,csfr,rad-m.-r.-stefanika,František Fajtl,1991.0,3.0,False,,False,muz,Havel,13
23,csfr,rad-m.-r.-stefanika,František Hieke - Stoj,1991.0,3.0,False,,True,muz,Havel,14
46,csfr,rad-m.-r.-stefanika,František Moravec,1991.0,3.0,False,,True,muz,Havel,15
83,csfr,rad-m.-r.-stefanika,František Weber,1991.0,3.0,False,,False,muz,Havel,16
63,csfr,rad-m.-r.-stefanika,František Řežábek,1991.0,3.0,False,,False,muz,Havel,17
56,csfr,rad-m.-r.-stefanika,Heliodor Píka,1991.0,3.0,False,,True,muz,Havel,18
32,csfr,rad-m.-r.-stefanika,Jan Kratochvíl,1991.0,3.0,False,,True,muz,Havel,19
58,csfr,rad-m.-r.-stefanika,Jan Prokop,1991.0,3.0,False,,False,muz,Havel,20
76,csfr,rad-m.-r.-stefanika,Jaroslav Vedral - Sázavský,1991.0,3.0,False,,True,muz,Havel,21
2,csfr,rad-m.-r.-stefanika,Josef Adam,1991.0,3.0,False,,False,muz,Havel,22
11,csfr,rad-m.-r.-stefanika,Josef Buršík,1991.0,3.0,False,,False,muz,Havel,23
18,csfr,rad-m.-r.-stefanika,Josef Flekal,1991.0,3.0,False,,False,muz,Havel,24
31,csfr,rad-m.-r.-stefanika,Josef Knop,1991.0,3.0,False,,True,muz,Havel,25
53,csfr,rad-m.-r.-stefanika,Josef Pavelka,1991.0,3.0,False,,False,muz,Havel,26
69,csfr,rad-m.-r.-stefanika,Josef Stehlík,1991.0,3.0,False,,False,muz,Havel,27
79,csfr,rad-m.-r.-stefanika,Josef Veselý,1991.0,3.0,False,,False,muz,Havel,28
81,csfr,rad-m.-r.-stefanika,Josef Vopálecký,1991.0,3.0,False,,False,muz,Havel,29
10,csfr,rad-m.-r.-stefanika,Jozef Brunovský,1991.0,3.0,False,,False,muz,Havel,30
20,csfr,rad-m.-r.-stefanika,Ján Golián,1991.0,3.0,False,,True,muz,Havel,31
14,csfr,rad-m.-r.-stefanika,Karel Drbohlav,1991.0,3.0,False,,False,muz,Havel,32
48,csfr,rad-m.-r.-stefanika,Karel Mrázek,1991.0,3.0,False,,False,muz,Havel,33
70,csfr,rad-m.-r.-stefanika,Karel Šeda,1991.0,3.0,False,,False,muz,Havel,34
30,csfr,rad-m.-r.-stefanika,Miroslav Jiroudek,1991.0,3.0,False,,False,muz,Havel,35
25,csfr,rad-m.-r.-stefanika,Otakar Hrubý,1991.0,3.0,False,,False,muz,Havel,36
82,csfr,rad-m.-r.-stefanika,Otto Wagner,1991.0,3.0,False,,True,muz,Havel,37
60,csfr,rad-m.-r.-stefanika,Pavol Pukančík,1991.0,3.0,False,,False,muz,Havel,38
84,csfr,rad-m.-r.-stefanika,Richard Zdráhala,1991.0,3.0,False,,True,muz,Havel,39
34,csfr,rad-m.-r.-stefanika,Rudolf Krzák,1991.0,3.0,False,,False,muz,Havel,40
55,csfr,rad-m.-r.-stefanika,Rudolf Pernický,1991.0,3.0,False,,False,muz,Havel,41
80,csfr,rad-m.-r.-stefanika,Rudolf Viest,1991.0,3.0,False,,True,muz,Havel,42
28,csfr,rad-m.-r.-stefanika,Sergěj Ingr,1991.0,3.0,False,,True,muz,Havel,43
15,csfr,rad-m.-r.-stefanika,Stanislav Dvorský,1991.0,3.0,False,,False,muz,Havel,44
24,csfr,rad-m.-r.-stefanika,Stanislav Hlučka,1991.0,3.0,False,,False,muz,Havel,45
61,csfr,rad-m.-r.-stefanika,Stanislav Rajmon,1991.0,3.0,False,,False,muz,Havel,46
64,csfr,rad-m.-r.-stefanika,Tomáš Sedláček,1991.0,3.0,False,,False,muz,Havel,47
85,csfr,rad-m.-r.-stefanika,Viliam Žingor,1991.0,3.0,False,,True,muz,Havel,48
12,csfr,rad-m.-r.-stefanika,Vladimír Cupák,1991.0,3.0,False,,False,muz,Havel,49
59,csfr,rad-m.-r.-stefanika,Vladimír Přikryl,1991.0,3.0,False,,True,muz,Havel,50
67,csfr,rad-m.-r.-stefanika,Vladimír Slánský,1991.0,3.0,False,,False,muz,Havel,51
4,csfr,rad-m.-r.-stefanika,Zdeněk Bachůrek,1991.0,3.0,False,,False,muz,Havel,52
57,csfr,rad-m.-r.-stefanika,Zdeněk Procházka,1991.0,3.0,False,,False,muz,Havel,53
39,csfr,rad-t.-g.-masaryka,Alexander Hirner,1991.0,4.0,False,,True,muz,Havel,54
38,csfr,rad-t.-g.-masaryka,Alexandr Heidler,1991.0,3.0,False,,True,muz,Havel,55
116,csfr,rad-t.-g.-masaryka,Alfréd Radok,1991.0,3.0,False,,True,muz,Havel,56
93,csfr,rad-t.-g.-masaryka,Anastáz Opasek,1991.0,2.0,False,,False,muz,Havel,57
70,csfr,rad-t.-g.-masaryka,Anna Kvapilová,1991.0,4.0,False,,False,zena,Havel,58
30,csfr,rad-t.-g.-masaryka,Bedřich Fučík,1991.0,3.0,False,,True,muz,Havel,59
102,csfr,rad-t.-g.-masaryka,Bernadeta Pánčiová,1991.0,4.0,False,,False,zena,Havel,60
125,csfr,rad-t.-g.-masaryka,Bohumil Sekla,1991.0,4.0,False,,True,muz,Havel,61
85,csfr,rad-t.-g.-masaryka,Bohuslav Martinů,1991.0,2.0,False,,True,muz,Havel,62
63,csfr,rad-t.-g.-masaryka,Božena Komárková,1991.0,3.0,False,,False,zena,Havel,63
24,csfr,rad-t.-g.-masaryka,Ctibor Filčík,1991.0,4.0,False,,True,muz,Havel,64
82,csfr,rad-t.-g.-masaryka,Cyprián Majerník,1991.0,3.0,False,,True,muz,Havel,65
118,csfr,rad-t.-g.-masaryka,Daniel Rapant,1991.0,1.0,False,,True,muz,Havel,66
148,csfr,rad-t.-g.-masaryka,Dominik Tatarka,1991.0,1.0,False,,True,muz,Havel,67
56,csfr,rad-t.-g.-masaryka,Dušan Jurkovič,1991.0,1.0,False,,True,muz,Havel,68
149,csfr,rad-t.-g.-masaryka,Eduard Táborský,1991.0,3.0,False,,False,muz,Havel,69
48,csfr,rad-t.-g.-masaryka,Egon Hostovský,1991.0,2.0,False,,True,muz,Havel,70
138,csfr,rad-t.-g.-masaryka,Ester Šimerová,1991.0,4.0,False,,False,zena,Havel,71
42,csfr,rad-t.-g.-masaryka,Fedor Hodža,1991.0,3.0,False,,True,muz,Havel,72
122,csfr,rad-t.-g.-masaryka,Fedor Ruppeldt,1991.0,1.0,False,,True,muz,Havel,73
106,csfr,rad-t.-g.-masaryka,Ferdinand Peroutka,1991.0,1.0,False,,True,muz,Havel,74
77,csfr,rad-t.-g.-masaryka,František Lederer,1991.0,3.0,False,,True,muz,Havel,75
127,csfr,rad-t.-g.-masaryka,František Schwarzenberg,1991.0,2.0,False,,False,muz,Havel,76
150,csfr,rad-t.-g.-masaryka,František kardinál Tomášek,1991.0,1.0,False,,False,muz,Havel,77
146,csfr,rad-t.-g.-masaryka,František Švantner,1991.0,3.0,False,,True,muz,Havel,78
101,csfr,rad-t.-g.-masaryka,Gustáv Papp,1991.0,4.0,False,,False,muz,Havel,79
120,csfr,rad-t.-g.-masaryka,Hubert Ripka,1991.0,2.0,False,,True,muz,Havel,80
60,csfr,rad-t.-g.-masaryka,Imrich Karvaš,1991.0,3.0,False,,True,muz,Havel,81
66,csfr,rad-t.-g.-masaryka,Ivan Krasko,1991.0,3.0,False,,True,muz,Havel,82
87,csfr,rad-t.-g.-masaryka,Ivan Medek,1991.0,3.0,False,,False,muz,Havel,83
19,csfr,rad-t.-g.-masaryka,Ivo Ducháček,1991.0,3.0,False,,True,muz,Havel,84
76,csfr,rad-t.-g.-masaryka,Jan Lang,1991.0,2.0,False,,False,muz,Havel,85
86,csfr,rad-t.-g.-masaryka,Jan Masaryk,1991.0,1.0,False,,True,muz,Havel,86
97,csfr,rad-t.-g.-masaryka,Jan Palach,1991.0,1.0,False,,True,muz,Havel,87
104,csfr,rad-t.-g.-masaryka,Jan Patočka,1991.0,1.0,False,,True,muz,Havel,88
158,csfr,rad-t.-g.-masaryka,Jan Vladislav,1991.0,3.0,False,,False,muz,Havel,89
162,csfr,rad-t.-g.-masaryka,Jan Zahradníček,1991.0,2.0,False,,True,muz,Havel,90
163,csfr,rad-t.-g.-masaryka,Jan Zajíc,1991.0,1.0,False,,True,muz,Havel,91
14,csfr,rad-t.-g.-masaryka,Jan Čep,1991.0,3.0,False,,True,muz,Havel,92
139,csfr,rad-t.-g.-masaryka,Jan Šimsa,1991.0,4.0,False,,False,muz,Havel,93
141,csfr,rad-t.-g.-masaryka,Jan Šrámek,1991.0,2.0,False,,True,muz,Havel,94
54,csfr,rad-t.-g.-masaryka,Janko Jesenský,1991.0,1.0,False,,True,muz,Havel,95
92,csfr,rad-t.-g.-masaryka,Jarmila Novotná - Daubek,1991.0,4.0,False,,False,zena,Havel,96
105,csfr,rad-t.-g.-masaryka,Jaroslav Pecháček,1991.0,3.0,False,,False,muz,Havel,97
124,csfr,rad-t.-g.-masaryka,Jaroslav Seifert,1991.0,1.0,False,,True,muz,Havel,98
133,csfr,rad-t.-g.-masaryka,Jaroslav Stránský,1991.0,2.0,False,,True,muz,Havel,99
160,csfr,rad-t.-g.-masaryka,Jaroslav Werstadt,1991.0,4.0,False,,True,muz,Havel,100
50,csfr,rad-t.-g.-masaryka,Jindřich Chalupecký,1991.0,3.0,False,,True,muz,Havel,101
62,csfr,rad-t.-g.-masaryka,Jindřich Kolovrat,1991.0,2.0,False,,False,muz,Havel,102
61,csfr,rad-t.-g.-masaryka,Jiří Kolář,1991.0,2.0,False,,False,muz,Havel,103
67,csfr,rad-t.-g.-masaryka,Jiří Král,1991.0,4.0,False,,False,muz,Havel,104
159,csfr,rad-t.-g.-masaryka,Jiří Weil,1991.0,3.0,False,,True,muz,Havel,105
10,csfr,rad-t.-g.-masaryka,Johann Wolfgang Brügel,1991.0,3.0,False,,True,muz,Havel,106
37,csfr,rad-t.-g.-masaryka,Josef Grňa,1991.0,2.0,False,,True,muz,Havel,107
45,csfr,rad-t.-g.-masaryka,Josef Hora,1991.0,3.0,False,,True,muz,Havel,108
167,csfr,rad-t.-g.-masaryka,Josef Zvěřina,1991.0,2.0,False,,True,muz,Havel,109
6,csfr,rad-t.-g.-masaryka,Josef kardinál Beran,1991.0,1.0,False,,True,muz,Havel,110
13,csfr,rad-t.-g.-masaryka,Josef Čapek,1991.0,1.0,False,,True,muz,Havel,111
135,csfr,rad-t.-g.-masaryka,Josef Šafařík,1991.0,3.0,False,,False,muz,Havel,112
22,csfr,rad-t.-g.-masaryka,Jozef Felix,1991.0,3.0,False,,True,muz,Havel,113
78,csfr,rad-t.-g.-masaryka,Jozef Lettrich,1991.0,2.0,False,,True,muz,Havel,114
52,csfr,rad-t.-g.-masaryka,Ján Jamnický,1991.0,3.0,False,,True,muz,Havel,115
55,csfr,rad-t.-g.-masaryka,Ján Jesenský,1991.0,4.0,False,,True,muz,Havel,116
88,csfr,rad-t.-g.-masaryka,Ján Mikleš,1991.0,4.0,False,,False,muz,Havel,117
100,csfr,rad-t.-g.-masaryka,Ján Papánek,1991.0,1.0,False,,False,muz,Havel,118
21,csfr,rad-t.-g.-masaryka,Karel Engliš,1991.0,3.0,False,,True,muz,Havel,119
110,csfr,rad-t.-g.-masaryka,Karel Plicka,1991.0,3.0,False,,True,muz,Havel,120
131,csfr,rad-t.-g.-masaryka,Koloman Sokol,1991.0,2.0,False,,False,muz,Havel,121
75,csfr,rad-t.-g.-masaryka,Leopold Lahola,1991.0,3.0,False,,True,muz,Havel,122
71,csfr,rad-t.-g.-masaryka,Martin Kvetko,1991.0,2.0,False,,False,muz,Havel,123
80,csfr,rad-t.-g.-masaryka,Michal Lukniš,1991.0,4.0,False,,True,muz,Havel,124
47,csfr,rad-t.-g.-masaryka,Milada Horáková,1991.0,1.0,False,,True,zena,Havel,125
43,csfr,rad-t.-g.-masaryka,Milan Hodža,1991.0,1.0,False,,True,muz,Havel,126
123,csfr,rad-t.-g.-masaryka,Milan Rúfus,1991.0,3.0,False,,False,muz,Havel,127
137,csfr,rad-t.-g.-masaryka,Milan Šimečka,1991.0,1.0,False,,True,muz,Havel,128
23,csfr,rad-t.-g.-masaryka,Oskár Ferianc,1991.0,4.0,False,,True,muz,Havel,129
46,csfr,rad-t.-g.-masaryka,Ota Hora,1991.0,3.0,False,,False,muz,Havel,130
161,csfr,rad-t.-g.-masaryka,Otto Wichterle,1991.0,3.0,False,,False,muz,Havel,131
34,csfr,rad-t.-g.-masaryka,Pavol Peter Gojdič,1991.0,2.0,False,,True,muz,Havel,132
164,csfr,rad-t.-g.-masaryka,Peter Zaťko,1991.0,4.0,False,,True,muz,Havel,133
166,csfr,rad-t.-g.-masaryka,Petr Zenkl,1991.0,2.0,False,,True,muz,Havel,134
18,csfr,rad-t.-g.-masaryka,Prokop Drtina,1991.0,2.0,False,,True,muz,Havel,135
108,csfr,rad-t.-g.-masaryka,Přemysl Pitter,1991.0,3.0,False,,True,muz,Havel,136
72,csfr,rad-t.-g.-masaryka,Rafael Kubelík,1991.0,1.0,False,,False,muz,Havel,137
51,csfr,rad-t.-g.-masaryka,Roman Jakobson,1991.0,2.0,False,,True,muz,Havel,138
130,csfr,rad-t.-g.-masaryka,Rostislav Sochorec,1991.0,1.0,False,,True,muz,Havel,139
8,csfr,rad-t.-g.-masaryka,Rudolf Briška,1991.0,4.0,False,,True,muz,Havel,140
25,csfr,rad-t.-g.-masaryka,Rudolf Firkušný,1991.0,1.0,False,,False,muz,Havel,141
