stat,vyznamenani,jmeno,vyznamnost,zebricek,narozeni,umrti,rok,rank,retez,skupina,inmemoriam,pohlavi,prezident
cr,rad-bileho-lva,Robert Fico,30.919975,15775.5,1964,nan,2014.0,1.0,False,občanská,True,muz,Zeman
cr,rad-bileho-lva,Imrich Gablech,19.191671 ,705058,1915,2016,2009.0,3.0,False,vojenská,False,muz,Klaus
cr,rad-bileho-lva,J.E. Bernardin kardinál Gantin,26.695557,55953.5,1922,2008,1996.0,2.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Vladimír Garncarz,nan,nan,1924,2004,1995.0,3.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Michail Sergejevič Gorbačov,37.324436,147,1931,2022,1999.0,1.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Árpád Göncz,30.007576,12342,1922,2015,2003.0,1.0,False,občanská,False,muz,Klaus
cr,rad-bileho-lva,Antonín Hasal,nan,nan,1893,1960,1995.0,2.0,False,vojenská,True,muz,Havel
cr,rad-bileho-lva,Paul Hatry,507605.0,507605,1929,2010,1998.0,3.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Václav Havel,34.597527,1071.5,1936.0,2011.0,2003.0,1.0,True,občanská,False,muz,Klaus
cr,rad-bileho-lva,Michael Häupl,28.238152,37893.0 ,1949.0,nan,2017.0,1.0,False,občanská,False,muz,Zeman
cr,rad-bileho-lva,Stanislav Hnělička,nan,nan,1922,2016,2007.0,2.0,False,vojenská,False,muz,Klaus
cr,rad-bileho-lva,Bedřich Homola,19.372997,638016.5 ,1887.0,1943.0,1998.0,2.0,False,vojenská,True,muz,Havel
cr,rad-bileho-lva,Rudolf Hrubec,nan,nan,1914,1944,2007.0,1.0,False,vojenská,True,muz,Klaus
cr,rad-bileho-lva,Josef Hyhlík,nan,nan,1922,1997,1998.0,3.0,False,občanská,True,muz,Havel
cr,rad-bileho-lva,George A. Joulwan,23.785341,162157.0 ,1939,nan,1997.0,2.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Miroslav Kácha,17.734098,1000308.0,1923.0,2010.0,1995.0,3.0,False,vojenská,False,muz,Havel
cr,rad-bileho-lva,Helmut Kohl,35.460560,612.0,1930.0,2017.0,1999.0,1.0,False,občanská,False,muz,Havel
cr,rad-bileho-lva,Miluláš Končický,nan,nan,1925,2015,2011.0,2.0,False,vojenská,False,muz,Klaus
cr,rad-bileho-lva,Vasil Korol,nan,nan,1922,2015,2012.0,4.0,False,vojenská,False,muz,Klaus
