stat,vyznamenani,jmeno,vyznamnost,zebricek,narozeni,umrti,rok,rank,retez,skupina,inmemoriam,pohlavi,prezident,level_0,index,id,vek,posmrti
cr,rad-bileho-lva,Joachim Gauck,33.688496,3779.0,1940.0,,2014.0,1.0,True,občanská,False,muz,Zeman,,,16,74.0,
cr,rad-bileho-lva,Karel Gott,31.278296,8761.0,1939.0,2019.0,2020.0,1.0,False,občanská,True,muz,Zeman,,,17,81.0,1.0
cr,rad-bileho-lva,Alexander Hess,,,1898.0,1981.0,2021.0,1.0,False,vojenská,True,muz,Zeman,,,18,123.0,40.0
cr,rad-bileho-lva,v.v. František Chábera,,,1912.0,1999.0,2020.0,1.0,False,vojenská,True,muz,Zeman,,,19,108.0,21.0
cr,rad-bileho-lva,Karel Husárek,,,1893.0,1972.0,2018.0,1.0,False,vojenská,True,muz,Zeman,,,20,125.0,46.0
cr,rad-bileho-lva,Lech Aleksander Kaczyński,33.07959,6440.5,1949.0,2010.0,2010.0,1.0,True,občanská,True,muz,Klaus,,,21,61.0,0.0
cr,rad-bileho-lva,Petr Kellner,25.452185,431490.0,1964.0,2021.0,2021.0,1.0,False,občanská,True,muz,Zeman,,,22,57.0,0.0
cr,rad-bileho-lva,Václav Klaus,31.884062,5727.0,1941.0,,2019.0,1.0,False,občanská,False,muz,Zeman,,,23,78.0,
cr,rad-bileho-lva,Aleksander Kwasniewsky,31.260067,12352.0,1954.0,,2004.0,1.0,True,občanská,False,muz,Klaus,,,24,50.0,
cr,rad-bileho-lva,Karel Lánský,,,1924.0,2019.0,2018.0,1.0,False,občanská,False,muz,Zeman,,,25,94.0,-1.0
cr,rad-bileho-lva,Borut Pahor,30.235401,30551.0,1963.0,,2017.0,1.0,True,občanská,False,muz,Zeman,,,26,54.0,
cr,rad-bileho-lva,Johannes Rau,31.696262,5823.0,1931.0,2006.0,2000.0,1.0,True,občanská,False,muz,Havel,,,27,69.0,-6.0
cr,rad-bileho-lva,Vladimír Remek,28.19322,38734.0,1948.0,,2021.0,1.0,False,občanská,False,muz,Zeman,,,28,73.0,
cr,rad-bileho-lva,Antonín Švehla,26.397543,63483.0,1873.0,1933.0,2018.0,1.0,False,občanská,True,muz,Zeman,,,29,145.0,85.0
cr,rad-bileho-lva,Ezer Weizman,29.783152,15622.0,1924.0,2005.0,1996.0,1.0,True,občanská,False,muz,Havel,,,30,72.0,-9.0
cr,rad-bileho-lva,Madeleine K. Albrightová,34.017853,1688.0,1937.0,2022.0,1997.0,1.0,False,občanská,False,zena,Havel,,,31,60.0,-25.0
cr,rad-bileho-lva,Josef Bartík,18.353737,830617.0,1897.0,1968.0,1998.0,3.0,False,vojenská,True,muz,Havel,,,32,101.0,30.0
cr,rad-bileho-lva,Alexander Beer,,,1917.0,2015.0,2012.0,2.0,False,vojenská,False,muz,Klaus,,,33,95.0,-3.0
cr,rad-bileho-lva,Emil Boček,,,1923.0,,2010.0,3.0,False,vojenská,False,muz,Klaus,,,34,87.0,
cr,rad-bileho-lva,Willy Brandt,35.375935,633.0,1913.0,1992.0,2000.0,1.0,False,občanská,True,muz,Havel,,,35,87.0,8.0
cr,rad-bileho-lva,Jan Bret,,,1923.0,2002.0,1995.0,3.0,False,vojenská,False,muz,Havel,,,36,72.0,-7.0
cr,rad-bileho-lva,Josef Bryks,22.678848,296747.0,1916.0,1957.0,2006.0,2.0,False,vojenská,True,muz,Klaus,,,37,90.0,49.0
cr,rad-bileho-lva,Josef Buršík,22.35709,280977.5,1911.0,2002.0,2005.0,1.0,False,vojenská,True,muz,Klaus,,,38,94.0,3.0
cr,rad-bileho-lva,George Bush,38.09108,178.0,1924.0,2018.0,1999.0,1.0,False,občanská,False,muz,Havel,,,39,75.0,-19.0
cr,rad-bileho-lva,Otakar Černý,,,1919.0,2009.0,2009.0,1.0,False,vojenská,True,muz,Klaus,,,40,90.0,0.0
cr,rad-bileho-lva,Antonín Mikuláš Číla,,,1883.0,1983.0,1998.0,2.0,False,vojenská,True,muz,Havel,,,41,115.0,15.0
cr,rad-bileho-lva,Václav Djačuk,,,1920.0,2015.0,2011.0,5.0,False,vojenská,False,muz,Klaus,,,42,91.0,-4.0
cr,rad-bileho-lva,Jean-Philippe Douin,21.753641,401421.0,1940.0,2016.0,1997.0,3.0,False,vojenská,False,muz,Havel,,,43,57.0,-19.0
cr,rad-bileho-lva,Alexander Dubček,32.49889,3615.0,1921.0,1992.0,2003.0,1.0,False,občanská,True,muz,Havel,,,44,82.0,11.0
cr,rad-bileho-lva,Josef Duda,,,1905.0,1977.0,2002.0,3.0,False,vojenská,True,muz,Havel,,,45,97.0,25.0
cr,rad-bileho-lva,Dominik kardinál Duka OP,27.130377,71048.0,1943.0,,2016.0,3.0,False,občanská,False,muz,Zeman,,,46,73.0,
cr,rad-bileho-lva,Alois Eliáš,27.1105,51954.0,1890.0,1942.0,1996.0,1.0,False,vojenská,True,muz,Havel,,,47,106.0,54.0
cr,rad-bileho-lva,František Fajtl,24.466726,122172.0,1912.0,2006.0,2004.0,3.0,False,vojenská,False,muz,Klaus,,,48,92.0,-2.0
cr,rad-bileho-lva,Robert Fico,30.919975,15775.5,1964.0,,2014.0,1.0,False,občanská,True,muz,Zeman,,,49,50.0,
cr,rad-bileho-lva,Imrich Gablech,19.191671,705058.0,1915.0,2016.0,2009.0,3.0,False,vojenská,False,muz,Klaus,,,50,94.0,-7.0
cr,rad-bileho-lva,J.E. Bernardin kardinál Gantin,26.695557,55953.5,1922.0,2008.0,1996.0,2.0,False,občanská,False,muz,Havel,,,51,74.0,-12.0
cr,rad-bileho-lva,Vladimír Garncarz,,,1924.0,2004.0,1995.0,3.0,False,vojenská,False,muz,Havel,,,52,71.0,-9.0
cr,rad-bileho-lva,Michail Sergejevič Gorbačov,37.324436,147.0,1931.0,2022.0,1999.0,1.0,False,občanská,False,muz,Havel,,,53,68.0,-23.0
cr,rad-bileho-lva,Árpád Göncz,30.007576,12342.0,1922.0,2015.0,2003.0,1.0,False,občanská,False,muz,Klaus,,,54,81.0,-12.0
cr,rad-bileho-lva,Antonín Hasal,,,1893.0,1960.0,1995.0,2.0,False,vojenská,True,muz,Havel,,,55,102.0,35.0
cr,rad-bileho-lva,Paul Hatry,507605.0,507605.0,1929.0,2010.0,1998.0,3.0,False,občanská,False,muz,Havel,,,56,69.0,-12.0
cr,rad-bileho-lva,Václav Havel,34.597527,1071.5,1936.0,2011.0,2003.0,1.0,True,občanská,False,muz,Klaus,,,57,67.0,-8.0
cr,rad-bileho-lva,Michael Häupl,28.238152,37893.0,1949.0,,2017.0,1.0,False,občanská,False,muz,Zeman,,,58,68.0,
cr,rad-bileho-lva,Stanislav Hnělička,,,1922.0,2016.0,2007.0,2.0,False,vojenská,False,muz,Klaus,,,59,85.0,-9.0
cr,rad-bileho-lva,Bedřich Homola,19.372997,638016.5,1887.0,1943.0,1998.0,2.0,False,vojenská,True,muz,Havel,,,60,111.0,55.0
cr,rad-bileho-lva,Rudolf Hrubec,,,1914.0,1944.0,2007.0,1.0,False,vojenská,True,muz,Klaus,,,61,93.0,63.0
cr,rad-bileho-lva,Josef Hyhlík,,,1922.0,1997.0,1998.0,3.0,False,občanská,True,muz,Havel,,,62,76.0,1.0
cr,rad-bileho-lva,George A. Joulwan,23.785341,162157.0,1939.0,,1997.0,2.0,False,vojenská,False,muz,Havel,,,63,58.0,
cr,rad-bileho-lva,Miroslav Kácha,17.734098,1000308.0,1923.0,2010.0,1995.0,3.0,False,vojenská,False,muz,Havel,,,64,72.0,-15.0
cr,rad-bileho-lva,Helmut Kohl,35.46056,612.0,1930.0,2017.0,1999.0,1.0,False,občanská,False,muz,Havel,,,65,69.0,-18.0
cr,rad-bileho-lva,Miluláš Končický,,,1925.0,2015.0,2011.0,2.0,False,vojenská,False,muz,Klaus,,,66,86.0,-4.0
cr,rad-bileho-lva,Vasil Korol,,,1922.0,2015.0,2012.0,4.0,False,vojenská,False,muz,Klaus,,,67,90.0,-3.0
cr,rad-bileho-lva,Jaroslav Krátký,,,1911.0,1945.0,1998.0,4.0,False,vojenská,True,muz,Havel,,,68,87.0,53.0
cr,rad-bileho-lva,Bruno Kreisky,31.375381,6113.0,1911.0,1990.0,2000.0,1.0,False,občanská,True,muz,Havel,,,69,89.0,10.0
cr,rad-bileho-lva,Ludvík Krejčí,20.644863,512313.0,1890.0,1972.0,2017.0,1.0,False,vojenská,True,muz,Zeman,,,70,127.0,45.0
cr,rad-bileho-lva,Rudolf Severin Krzák,17.960215,868324.5,1914.0,2004.0,2004.0,3.0,False,vojenská,True,muz,Klaus,,,71,90.0,0.0
cr,rad-bileho-lva,Karel Kutlvašr,21.398306,499605.0,1895.0,1961.0,2017.0,1.0,False,vojenská,True,muz,Zeman,,,72,122.0,56.0
cr,rad-bileho-lva,Karel Kuttelwascher,24.026825,175785.0,1916.0,1959.0,2016.0,1.0,False,vojenská,True,muz,Zeman,,,73,100.0,57.0
cr,rad-bileho-lva,Marie Ljalková-Lastovecká,23.347412,478653.5,1920.0,2011.0,2010.0,2.0,False,vojenská,False,zena,Klaus,,,74,90.0,-1.0
cr,rad-bileho-lva,Jindřich Macháček,,,,,1997.0,4.0,False,vojenská,False,muz,Havel,,,75,,
cr,rad-bileho-lva,Joachim kardinál Meisner,29.580667,16922.0,1933.0,2017.0,1998.0,3.0,False,občanská,False,muz,Havel,,,76,65.0,-19.0
cr,rad-bileho-lva,François Mitterrand,35.902332,470.0,1916.0,1996.0,1999.0,1.0,False,občanská,True,muz,Havel,,,77,83.0,3.0
cr,rad-bileho-lva,Klaus Naumann,24.602411,136327.0,1939.0,,1999.0,3.0,False,vojenská,False,muz,Havel,,,78,60.0,
cr,rad-bileho-lva,Vladimír Nedvěd,18.147558,863368.0,1917.0,2012.0,1996.0,3.0,False,vojenská,False,muz,Havel,,,79,79.0,-16.0
cr,rad-bileho-lva,Bedřich Neumann,,,1981.0,1964.0,1997.0,3.0,False,vojenská,True,muz,Havel,,,80,16.0,33.0
cr,rad-bileho-lva,Josef Ocelka,,,1909.0,1942.0,2019.0,1.0,False,vojenská,True,muz,Zeman,,,81,110.0,77.0
cr,rad-bileho-lva,Olof Joachim Palme,33.751942,1616.0,1927.0,1986.0,2000.0,1.0,False,občanská,True,muz,Havel,,,82,73.0,14.0
cr,rad-bileho-lva,George S. Patton,35.114647,1277.0,1885.0,1945.0,1998.0,4.0,False,vojenská,True,muz,Havel,,,83,113.0,53.0
cr,rad-bileho-lva,Rudolf Pernický,19.767851,584814.5,1915.0,2005.0,2005.0,1.0,False,vojenská,False,muz,Klaus,,,84,90.0,0.0
cr,rad-bileho-lva,František Peřina,23.402201,212461.0,1911.0,2006.0,1997.0,4.0,False,vojenská,False,muz,Havel,,,85,86.0,-9.0
cr,rad-bileho-lva,Felix Peřka,,,1924.0,2005.0,1995.0,3.0,False,vojenská,False,muz,Havel,,,86,71.0,-10.0
cr,rad-bileho-lva,Anton Petrák,,,1912.0,2009.0,2003.0,1.0,False,vojenská,False,muz,Havel,,,87,91.0,-6.0
cr,rad-bileho-lva,Karel Pezl,18.83499,770032.0,1927.0,,2017.0,1.0,False,vojenská,False,muz,Zeman,,,88,90.0,
cr,rad-bileho-lva,Jan Plovajko,,,1922.0,2020.0,2010.0,3.0,False,vojenská,False,muz,Klaus,,,89,88.0,-10.0
cr,rad-bileho-lva,Karel J. Procházka,,,1905.0,1999.0,1997.0,4.0,False,vojenská,False,muz,Havel,,,90,92.0,-2.0
cr,rad-bileho-lva,Radovan Procházka,,,1927.0,2020.0,1997.0,4.0,False,vojenská,False,muz,Havel,,,91,70.0,-23.0
cr,rad-bileho-lva,Pravomil L. Raichl,,,1921.0,2002.0,2000.0,5.0,False,vojenská,False,muz,Havel,,,92,79.0,-2.0
cr,rad-bileho-lva,Ronald Reagan,39.705551,20.0,1911.0,2004.0,1999.0,1.0,False,občanská,False,muz,Havel,,,93,88.0,-5.0
cr,rad-bileho-lva,Josef Robotka,,,1906.0,1952.0,1997.0,3.0,False,vojenská,True,muz,Havel,,,94,91.0,45.0
cr,rad-bileho-lva,Chanan Rozen,,,1918.0,2013.0,1998.0,4.0,False,občanská,False,muz,Havel,,,95,80.0,-15.0
cr,rad-bileho-lva,John M. D. Shalikashvili,27.206291,70053.0,1936.0,2011.0,1998.0,3.0,False,vojenská,False,muz,Havel,,,96,62.0,-13.0
cr,rad-bileho-lva,Jaroslav Selner,,,1906.0,1973.0,2019.0,1.0,False,vojenská,True,muz,Zeman,,,97,113.0,46.0
cr,rad-bileho-lva,Gerhard Fritz Kurt Schröder,34.489357,1469.0,1944.0,,2017.0,1.0,False,občanská,False,muz,Zeman,,,98,73.0,
cr,rad-bileho-lva,Rudolf Schuster,27.826611,42180.0,1934.0,,2019.0,1.0,False,občanská,False,muz,Zeman,,,99,85.0,
cr,rad-bileho-lva,Oldřich Skácel,,,1908.0,2002.0,1995.0,3.0,False,vojenská,False,muz,Havel,,,100,87.0,-7.0
cr,rad-bileho-lva,František Slunečko,,,1886.0,1963.0,1998.0,3.0,False,vojenská,True,muz,Havel,,,101,112.0,35.0
cr,rad-bileho-lva,Javier Solana,31.050797,7739.0,1942.0,,1998.0,2.0,False,občanská,False,muz,Havel,,,102,56.0,
cr,rad-bileho-lva,Vilém Stanovský,,,1896.0,1972.0,2000.0,3.0,False,vojenská,True,muz,Havel,,,103,104.0,28.0
cr,rad-bileho-lva,Oto Stehlík,,,1924.0,,2002.0,4.0,False,občanská,False,muz,Havel,,,104,78.0,
cr,rad-bileho-lva,Alois Šiška,,,1914.0,2003.0,2003.0,3.0,False,vojenská,True,muz,Klaus,,,105,89.0,0.0
cr,rad-bileho-lva,Antonín Špaček,,,1917.0,2007.0,2006.0,1.0,False,vojenská,False,muz,Klaus,,,106,89.0,-1.0
cr,rad-bileho-lva,Margaret Thatcherová,38.070229,144.0,1925.0,2013.0,1999.0,1.0,False,občanská,False,zena,Havel,,,107,74.0,-14.0
cr,rad-bileho-lva,Ferdinand Trauttmansdorff,22.525919,312004.0,1950.0,,2016.0,4.0,False,občanská,False,muz,Zeman,,,108,66.0,
cr,rad-bileho-lva,Jan Velík,,,1921.0,2016.0,2011.0,2.0,False,vojenská,False,muz,Klaus,,,109,90.0,-5.0
cr,rad-bileho-lva,Guido Venturoni,19.899698,900010.0,1934.0,,2002.0,3.0,False,občanská,False,muz,Havel,,,110,68.0,
cr,rad-bileho-lva,Sergej Vojcechovský,,,1883.0,1951.0,1997.0,3.0,False,vojenská,True,muz,Havel,,,111,114.0,46.0
cr,rad-bileho-lva,Franz Vranitzký,29.095203,21551.0,1937.0,,2014.0,1.0,False,občanská,False,muz,Zeman,,,112,77.0,
cr,rad-bileho-lva,Veleslav Wahl,,,1922.0,1950.0,1995.0,2.0,False,občanská,True,muz,Havel,,,113,73.0,45.0
cr,rad-bileho-lva,Lech Walesa,35.411781,801.5,1943.0,,1999.0,1.0,False,občanská,False,muz,Havel,,,114,56.0,
cr,rad-bileho-lva,Richard von Weizsäcker,32.824436,3024.0,1920.0,2015.0,2003.0,1.0,False,občanská,False,muz,Klaus,,,115,83.0,-12.0
cr,rad-bileho-lva,Simon Wiesenthal,33.570942,1793.0,1908.0,2005.0,1999.0,3.0,False,občanská,False,muz,Havel,,,116,91.0,-6.0
cr,rad-bileho-lva,Thomas Ray Wilson,18.984396,1397787.0,1946.0,,2002.0,3.0,False,občanská,False,muz,Havel,,,117,56.0,
cr,rad-bileho-lva,Jiří Zenáhlík,,,1921.0,,2008.0,1.0,False,vojenská,False,muz,Klaus,,,118,87.0,
cr,rad-bileho-lva,Helmut Zilk,27.068069,46449.0,1927.0,2008.0,2019.0,1.0,False,občanská,True,muz,Zeman,,,119,92.0,11.0
csfr,rad-bileho-lva,François Mitterrand,35.902332,470.0,1916.0,1996.0,1990.0,1.0,False,,False,muz,Havel,,,120,74.0,-6.0
csfr,rad-bileho-lva,Vladimír Krajina,22.397926,240550.0,1905.0,1993.0,1990.0,1.0,False,,False,muz,Havel,,,121,85.0,-3.0
csfr,rad-bileho-lva,Zdena Salivarová - Škvorecká,22.676586,224787.0,1933.0,,1990.0,3.0,False,,False,zena,Havel,,,122,57.0,
csfr,rad-bileho-lva,H. G. Skilling,20.104029,495709.5,1912.0,2001.0,1992.0,3.0,False,,False,muz,Stráský,,,123,80.0,-9.0
csfr,rad-bileho-lva,Josef Škvorecký,28.360466,24888.0,1924.0,2012.0,1990.0,3.0,False,,False,muz,Havel,,,124,66.0,-22.0
cr,rad-bileho-lva,Josef Balabán,22.710787,255547.5,1894.0,1941.0,2022.0,1.0,False,vojenská ,True,muz,Zeman,0.0,202201.0,125,128.0,81.0
cr,rad-bileho-lva,Josef Hubáček,,,1909.0,1988.0,2022.0,1.0,False,vojenská ,True,muz,Zeman,1.0,202202.0,126,113.0,34.0
cr,rad-bileho-lva,Karel Lukas,,,1897.0,1949.0,2022.0,1.0,False,vojenská ,True,muz,Zeman,2.0,202203.0,127,125.0,73.0
cr,rad-bileho-lva,Vojtěch Boris Luža,20.817099,456660.5,1891.0,1944.0,2022.0,1.0,False,vojenská ,True,muz,Zeman,3.0,202204.0,128,131.0,78.0
cr,rad-bileho-lva,Josef Vladimír Mašín,24.674967,155769.0,1896.0,1942.0,2022.0,1.0,False,vojenská ,True,muz,Zeman,4.0,202205.0,129,126.0,80.0
cr,rad-bileho-lva,Václav Morávek,23.512011,227285.5,1904.0,1942.0,2022.0,1.0,False,vojenská ,True,muz,Zeman,5.0,202206.0,130,118.0,80.0
cr,rad-bileho-lva,Josef Stehlík,20.211123,546613.5,1915.0,1991.0,2022.0,1.0,False,vojenská ,True,muz,Zeman,6.0,202207.0,131,107.0,31.0
cr,rad-bileho-lva,Volodymyr Oleksandrovyč Zelenskyj,26.775488,212650.0,1978.0,,2022.0,1.0,True,občanská,False,muz,Zeman,7.0,202208.0,132,44.0,
