stat,vyznamenani,jmeno,vyznamnost,zebricek,narozeni,umrti,rok,rank,retez,skupina,inmemoriam,pohlavi,prezident,level_0,index,id,vek,posmrti
cr,rad-bileho-lva,Abdullah II. bin Al Hussein,34.551716,1917.0,1962.0,,2015.0,1.0,True,občanská,False,muz,Zeman,,,0,53.0,
cr,rad-bileho-lva,Alžběta II.,39.511745,419.0,1926.0,2022.0,1996.0,1.0,True,občanská,False,zena,Havel,,,1,70.0,-26.0
cr,rad-bileho-lva,Jan Antonín Baťa,23.91666,174643.0,1898.0,1965.0,2019.0,1.0,False,občanská,True,muz,Zeman,,,2,121.0,54.0
cr,rad-bileho-lva,Josef Bílý,20.048971,627090.0,1872.0,1941.0,2018.0,1.0,False,vojenská,True,muz,Zeman,,,3,146.0,77.0
cr,rad-bileho-lva,Emil Boček,,,1923.0,,2019.0,1.0,False,vojenská,False,muz,Zeman,,,4,96.0,
cr,rad-bileho-lva,Jiřina Bohdalová,27.087788,78695.0,1931.0,,2021.0,1.0,False,občanská,False,zena,Zeman,,,5,90.0,
cr,rad-bileho-lva,Juan Carlos I.,35.604042,1019.0,1938.0,,1995.0,1.0,True,občanská,False,muz,Havel,,,6,57.0,
cr,rad-bileho-lva,Stanislav Čeček,21.707483,427032.0,1886.0,1930.0,2018.0,1.0,False,vojenská,True,muz,Zeman,,,7,132.0,88.0
cr,rad-bileho-lva,Alfred Duff Cooper,28.032145,32999.0,1890.0,1954.0,2021.0,1.0,False,občanská,True,muz,Zeman,,,8,131.0,67.0
cr,rad-bileho-lva,Andrzej Duda,32.687565,11227.0,1972.0,,2016.0,1.0,True,občanská,False,muz,Zeman,,,9,44.0,
cr,rad-bileho-lva,Jacques Chirac,36.265759,445.0,1932.0,2019.0,1997.0,1.0,True,občanská,False,muz,Havel,,,10,65.0,-22.0
cr,rad-bileho-lva,William Jefferson Clinton,38.609379,46.0,1946.0,,1998.0,1.0,True,občanská,False,muz,Havel,,,11,52.0,
cr,rad-bileho-lva,Bohuslav Ečer,,,1893.0,1954.0,2019.0,1.0,False,vojenská,True,muz,Zeman,,,12,126.0,65.0
cr,rad-bileho-lva,Heinz Fischer,31.420586,9806.0,1938.0,,2009.0,1.0,True,občanská,False,muz,Klaus,,,13,71.0,
cr,rad-bileho-lva,Jan Gajdoš,22.588617,243173.0,1903.0,1945.0,2018.0,1.0,False,občanská,True,muz,Zeman,,,14,115.0,73.0
cr,rad-bileho-lva,Ivan Gašparovič,28.486383,48085.0,1941.0,,2013.0,1.0,True,občanská,False,muz,Klaus,,,15,72.0,
